levy,manufacturer,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,is_turbo,car_age
919.0,MERCEDES-BENZ,2012,Jeep,Yes,Diesel,3.0,140200,6.0,Automatic,4x4,2-3,Left wheel,Grey,10,1,14
761.0,TOYOTA,2010,Hatchback,Yes,Hybrid,1.8,118000,4.0,Tiptronic,Front,2-3,Left wheel,Blue,10,0,16
,FIAT,2013,Coupe,No,Petrol,1.4,98000,4.0,Manual,Front,4-5,Left wheel,Black,6,1,13
,MERCEDES-BENZ,2009,Jeep,Yes,Diesel,3.0,260000,6.0,Tiptronic,4x4,2-3,Left wheel,Black,12,0,17
584.0,HYUNDAI,2014,Sedan,No,Petrol,1.8,155360,4.0,Tiptronic,Front,2-3,Left wheel,Grey,6,0,12
730.0,SSANGYONG,2016,Jeep,Yes,Diesel,1.6,85134,4.0,Automatic,Front,2-3,Left wheel,Blue,4,0,10
609.0,TOYOTA,2018,Sedan,Yes,Hybrid,2.5,35058,4.0,Automatic,Front,2-3,Left wheel,White,12,0,8
,DAIHATSU,1998,Jeep,No,Petrol,1.3,221000,4.0,Automatic,4x4,2-3,Right-hand drive,Blue,2,0,28
,TOYOTA,2010,Hatchback,No,Hybrid,1.8,154000,4.0,Automatic,Front,2-3,Left wheel,Grey,12,0,16
836.0,HYUNDAI,2010,Coupe,Yes,Petrol,2.0,170000,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,16
1053.0,MERCEDES-BENZ,2014,Sedan,Yes,Diesel,3.5,184467,6.0,Automatic,Rear,2-3,Left wheel,White,12,0,12
1273.0,LEXUS,2015,Jeep,Yes,Petrol,3.5,121315,6.0,Automatic,4x4,2-3,Left wheel,Black,0,0,11
779.0,TOYOTA,2013,Sedan,Yes,Petrol,2.5,102000,4.0,Tiptronic,Front,2-3,Left wheel,Blue,10,0,13
934.0,HYUNDAI,2015,Universal,Yes,Diesel,2.5,148105,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,11
1202.0,DODGE,2017,Jeep,Yes,Petrol,2.4,74499,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,9
1356.0,MERCEDES-BENZ,2014,Jeep,Yes,Petrol,4.6,201634,8.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,12
583.0,HYUNDAI,2011,Sedan,Yes,Petrol,1.6,174391,4.0,Automatic,Front,2-3,Left wheel,White,4,0,15
697.0,VOLKSWAGEN,2015,Sedan,Yes,Petrol,1.8,70000,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,11
,VOLKSWAGEN,2002,Sedan,No,Petrol,2.0,165000,4.0,Automatic,Front,2-3,Left wheel,Blue,6,0,24
,MERCEDES-BENZ,2007,Sedan,Yes,Petrol,5.5,225000,8.0,Tiptronic,Rear,2-3,Left wheel,Black,12,0,19
1202.0,HYUNDAI,2017,Jeep,Yes,Petrol,2.4,91782,4.0,Automatic,Front,2-3,Left wheel,Orange,12,0,9
831.0,HYUNDAI,2011,Sedan,Yes,Hybrid,2.4,224349,4.0,Automatic,Front,2-3,Left wheel,Grey,0,0,15
687.0,HYUNDAI,2010,Sedan,Yes,Petrol,1.6,86660,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,16
784.0,TOYOTA,2017,Hatchback,Yes,Petrol,1.5,67357,4.0,Automatic,Front,2-3,Left wheel,White,12,0,9
,BMW,1999,Sedan,Yes,Petrol,2.8,9401,6.0,Tiptronic,Rear,2-3,Left wheel,Silver,8,0,27
891.0,HYUNDAI,2016,Sedan,Yes,LPG,2.0,290850,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
1249.0,HYUNDAI,2017,Universal,Yes,Diesel,2.5,168645,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,9
,FORD,2013,Hatchback,No,Petrol,1.6,89000,4.0,Automatic,Front,2-3,Left wheel,Blue,9,0,13
1399.0,LEXUS,2010,Sedan,Yes,Petrol,3.5,187144,6.0,Automatic,Front,2-3,Left wheel,Black,12,0,16
1079.0,HYUNDAI,2018,Jeep,Yes,Diesel,2.0,28000,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,8
1018.0,BMW,2011,Sedan,Yes,Petrol,3.0,107000,6.0,Tiptronic,Rear,2-3,Left wheel,Blue,10,0,15
,TOYOTA,2012,Hatchback,No,Hybrid,1.5,149000,4.0,Variator,Front,2-3,Right-hand drive,Silver,2,0,14
1399.0,MERCEDES-BENZ,2010,Sedan,Yes,Diesel,3.5,239224,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,16
1017.0,HYUNDAI,2017,Sedan,Yes,Petrol,2.0,15470,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,9
,BMW,2008,Jeep,Yes,Petrol,3.5,139452,6.0,Tiptronic,4x4,2-3,Left wheel,Black,8,1,18
645.0,HYUNDAI,2011,Sedan,Yes,Petrol,1.8,308501,4.0,Automatic,Front,2-3,Left wheel,Blue,12,0,15
891.0,HYUNDAI,2016,Sedan,Yes,LPG,2.0,285486,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,10
,FORD,1995,Microbus,No,Diesel,2.5,327389,4.0,Manual,Rear,2-3,Left wheel,Blue,2,0,31
1017.0,HYUNDAI,2017,Jeep,Yes,Diesel,2.0,97992,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,9
