price,levy,manufacturer,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,is_turbo,car_age
13328,1399.0,LEXUS,2010,Jeep,Yes,Hybrid,3.5,186005,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,16
16621,1018.0,CHEVROLET,2011,Jeep,No,Petrol,3.0,192000,6.0,Tiptronic,4x4,2-3,Left wheel,Black,8,0,15
8467,,HONDA,2006,Hatchback,No,Petrol,1.3,200000,4.0,Variator,Front,2-3,Right-hand drive,Black,2,0,20
3607,862.0,FORD,2011,Jeep,Yes,Hybrid,2.5,168966,4.0,Automatic,4x4,2-3,Left wheel,White,0,0,15
11726,446.0,HONDA,2014,Hatchback,Yes,Petrol,1.3,91901,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,12
39493,891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,160931,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
1803,761.0,TOYOTA,2010,Hatchback,Yes,Hybrid,1.8,258909,4.0,Automatic,Front,2-3,Left wheel,White,12,0,16
549,751.0,HYUNDAI,2013,Sedan,Yes,Petrol,2.4,216118,4.0,Automatic,Front,2-3,Left wheel,Grey,12,0,13
1098,394.0,TOYOTA,2014,Sedan,Yes,Hybrid,2.5,398069,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,12
26657,,LEXUS,2007,Jeep,Yes,Petrol,3.5,128500,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,19
941,1053.0,MERCEDES-BENZ,2014,Sedan,Yes,Diesel,3.5,184467,6.0,Automatic,Rear,2-3,Left wheel,White,12,0,12
8781,,FORD,1999,Microbus,No,CNG,4.0,0,8.0,Manual,Rear,4-5,Left wheel,Blue,0,0,27
3000,,OPEL,1997,Goods wagon,No,CNG,1.6,350000,4.0,Manual,Front,2-3,Left wheel,White,4,0,29
1019,1055.0,LEXUS,2013,Jeep,Yes,Hybrid,3.5,138038,6.0,Automatic,Front,2-3,Left wheel,White,12,0,13
59464,891.0,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,76000,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
549,1079.0,TOYOTA,2018,Jeep,Yes,Petrol,2.0,74146,4.0,Automatic,Front,2-3,Left wheel,White,12,0,8
7683,810.0,HYUNDAI,2016,Sedan,Yes,Petrol,1.8,121840,4.0,Automatic,Front,2-3,Left wheel,Blue,12,0,10
28382,810.0,HYUNDAI,2016,Sedan,Yes,Petrol,1.8,54317,4.0,Automatic,Front,2-3,Left wheel,White,4,0,10
549,2386.0,HYUNDAI,2006,Sedan,Yes,Petrol,3.3,295059,6.0,Automatic,Rear,2-3,Left wheel,Blue,12,0,20
941,1850.0,LEXUS,2008,Jeep,Yes,Hybrid,3.5,364523,6.0,Automatic,4x4,2-3,Left wheel,Black,12,0,18
18826,531.0,HYUNDAI,2012,Sedan,Yes,Petrol,1.6,112645,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,14
20698,586.0,TOYOTA,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,2-3,Left wheel,White,12,0,14
17562,1249.0,TOYOTA,2017,Sedan,Yes,Petrol,2.5,39709,4.0,Automatic,Front,2-3,Left wheel,Black,12,0,9
7840,,FORD,2001,Microbus,No,Diesel,2.0,230000,4.0,Manual,Front,4-5,Left wheel,White,0,1,25
4704,,OPEL,1995,Sedan,No,Petrol,1.8,0,4.0,Automatic,Front,2-3,Left wheel,Green,4,0,31
20385,,MERCEDES-BENZ,2006,Sedan,Yes,Diesel,2.2,210000,4.0,Tiptronic,Rear,2-3,Left wheel,Black,8,1,20
549,2455.0,LEXUS,2008,Jeep,Yes,Petrol,4.7,0,8.0,Automatic,4x4,2-3,Left wheel,White,0,0,18
14454,583.0,HYUNDAI,2011,Sedan,Yes,Petrol,1.6,158787,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,15
12074,1537.0,TOYOTA,2009,Jeep,Yes,Hybrid,3.3,420550,6.0,Automatic,4x4,2-3,Left wheel,Blue,12,0,17
15681,1288.0,MERCEDES-BENZ,2007,Goods wagon,No,Diesel,2.0,180000,6.0,Manual,Rear,2-3,Left wheel,White,4,1,19
19444,915.0,PORSCHE,2014,Jeep,Yes,Diesel,3.0,175056,6.0,Automatic,4x4,2-3,Left wheel,White,12,0,12
6899,,BMW,2000,Jeep,Yes,CNG,4.4,200000,8.0,Automatic,4x4,2-3,Left wheel,Silver,6,0,26
125,1750.0,TOYOTA,2008,Sedan,Yes,Hybrid,3.3,287274,6.0,Automatic,4x4,2-3,Left wheel,White,12,0,18
24462,,JEEP,2007,Jeep,Yes,Diesel,3.0,250000,6.0,Tiptronic,4x4,2-3,Left wheel,Black,10,1,19
23235,707.0,HYUNDAI,2011,Jeep,Yes,Diesel,2.0,162000,4.0,Automatic,Front,2-3,Left wheel,Grey,4,0,15
51746,1077.0,TOYOTA,2019,Jeep,No,Petrol,2.0,10200,4.0,Tiptronic,Front,2-3,Left wheel,Red,12,0,7
7527,1486.0,HONDA,2010,Hatchback,No,Hybrid,1.3,158000,4.0,Automatic,Front,2-3,Right-hand drive,Black,4,0,16
19121,531.0,HYUNDAI,2012,Sedan,Yes,Petrol,1.6,103490,4.0,Automatic,Front,2-3,Left wheel,Silver,4,0,14
314,1399.0,LEXUS,2010,Jeep,Yes,Hybrid,3.5,382746,6.0,Automatic,4x4,2-3,Left wheel,Silver,12,0,16
24462,751.0,TOYOTA,2013,Sedan,Yes,Petrol,2.4,203200,4.0,Automatic,Front,2-3,Left wheel,Blue,4,0,13
45734,1091.0,HYUNDAI,2016,Universal,Yes,Diesel,2.5,61057,4.0,Automatic,Front,2-3,Left wheel,Black,4,0,10
20165,650.0,VOLKSWAGEN,2016,Sedan,Yes,Petrol,1.4,11200,4.0,Tiptronic,Front,2-3,Left wheel,Black,8,1,10
21326,382.0,HYUNDAI,2014,Sedan,Yes,Hybrid,2.4,141000,4.0,Tiptronic,Front,2-3,Left wheel,White,12,0,12
